isqno,war,name,date_start,date_end,duration,attacker,defender,winner,locn
208,Guerra Civil Americana,ATLANTA,1864-07-22 12:30:00,1864-07-22 19:30:00,0 days 07:00:00,Confederación,EE. UU.,defender,Georgia
209,Guerra Civil Americana,PETERSBURG,1864-06-15 19:00:00,1864-06-18 20:30:00,3 days 01:30:00,EE. UU.,Confederación,defender,Virginia
210,Guerra Civil Americana,GLOBE TAVERN,1864-08-18 00:00:00,1864-08-22 00:00:00,4 days 00:00:00,EE. UU.,Confederación,attacker,Virginia
211,Guerra Civil Americana,OPEQUON CREEK (THIRD WINCHESTER),1864-09-19 05:00:00,1864-09-19 17:00:00,0 days 12:00:00,EE. UU.,Confederación,attacker,Virginia
212,Guerra Civil Americana,CEDAR CREEK,1864-10-19 05:30:00,1864-10-19 18:00:00,0 days 12:30:00,Confederación,EE. UU.,defender,Virginia
213,Guerra Civil Americana,FRANKLIN,1864-11-30 15:30:00,1864-11-30 23:00:00,0 days 07:30:00,Confederación,EE. UU.,defender,Tennessee
214,Guerra Civil Americana,NASHVILLE,1864-12-15 08:00:00,1864-12-16 16:45:00,1 days 08:45:00,EE. UU.,Confederación,attacker,Tennessee
215,Guerra Civil Americana,BENTONVILLE,1865-03-19 06:00:00,1865-03-21 08:00:00,2 days 02:00:00,Confederación,EE. UU.,defender,Carolina del Norte
216,Guerra Civil Americana,DINWIDDIE COURTHOUSE & WHITE OAK ROAD,1865-03-29 00:00:00,1865-04-01 00:00:00,3 days 00:00:00,EE. UU.,Confederación,draw,Virginia
217,Guerra Civil Americana,FIVE FORKS,1865-04-01 16:00:00,1865-04-01 19:30:00,0 days 03:30:00,EE. UU.,Confederación,attacker,Virginia
218,Guerra Civil Americana,SELMA,1865-04-02 00:00:00,1865-04-03 00:00:00,1 days 00:00:00,EE. UU.,Confederación,attacker,Alabama
219,Guerra Civil Americana,SAYLOR'S CREEK,1865-04-06 08:30:00,1865-04-06 19:30:00,0 days 11:00:00,EE. UU.,Confederación,attacker,Virginia
220,Guerra Franco-Prusiana,WEISSENBURG,1870-08-04 08:30:00,1870-08-04 15:00:00,0 days 06:30:00,Alemania,Francia,attacker,Francia
221,Guerra Franco-Prusiana,FROESCHWILLER,1870-08-06 08:00:00,1870-08-06 17:00:00,0 days 09:00:00,Alemania,Francia,attacker,Francia
222,Guerra Franco-Prusiana,SPICHERN,1870-08-06 05:00:00,1870-08-06 18:00:00,0 days 13:00:00,Alemania,Francia,attacker,Francia
223,Guerra Franco-Prusiana,MARS LA TOUR,1870-08-16 10:00:00,1870-08-16 22:00:00,0 days 12:00:00,Alemania,Francia,attacker,Francia
224,Guerra Franco-Prusiana,GRAVELOTTE-ST. PRIVAT,1870-08-18 11:30:00,1870-08-18 20:00:00,0 days 08:30:00,Alemania,Francia,attacker,Francia
225,Guerra Franco-Prusiana,SEDAN,1870-09-01 04:00:00,1870-09-01 17:00:00,0 days 13:00:00,Alemania,Francia,attacker,Francia
226,Guerra Franco-Prusiana,COULMIERS,1870-11-09 09:00:00,1870-11-09 16:00:00,0 days 07:00:00,Francia,Alemania,attacker,Francia
227,Guerra Franco-Prusiana,ORLEANS,1870-12-02 00:00:00,1870-12-05 00:00:00,3 days 00:00:00,Alemania,Francia,attacker,Francia
228,Guerra Franco-Prusiana,LE MANS,1871-01-11 09:00:00,1871-01-12 17:00:00,1 days 08:00:00,Alemania,Francia,attacker,Francia
229,Guerra Franco-Prusiana,BELFORT,1871-01-15 00:00:00,1871-01-18 00:00:00,3 days 00:00:00,Francia,Alemania,defender,Francia
232,Revuelta de Transvaal,MAJUBA HILL,1881-02-27 12:30:00,1881-02-27 13:30:00,0 days 01:00:00,República de Sudáfrica,Gran Bretaña,attacker,Transvaal
233,Egipto y el Sudán,TEL EL-KEBIR,1882-09-13 04:55:00,1882-09-13 07:00:00,0 days 02:05:00,Gran Bretaña,Egipto,attacker,Egipto
236,Guerra de los Bóers,MODDER RIVER,1899-11-28 05:30:00,1899-11-28 15:30:00,0 days 10:00:00,Gran Bretaña,República de Sudáfrica,attacker,Sudáfrica
237,Guerra de los Bóers,MAGERSFONTEIN,1899-12-11 05:00:00,1899-12-11 14:00:00,0 days 09:00:00,Gran Bretaña,República de Sudáfrica,defender,Sudáfrica
238,Guerra de los Bóers,COLENSO,1899-12-15 06:30:00,1899-12-15 17:00:00,0 days 10:30:00,Gran Bretaña,República de Sudáfrica,defender,Sudáfrica
239,Guerra de los Bóers,SPION KOP,1900-01-24 08:00:00,1900-01-24 19:00:00,0 days 11:00:00,Gran Bretaña,República de Sudáfrica,defender,Sudáfrica
240,Guerra de los Bóers,PAARDEBURG,1900-02-18 08:00:00,1900-02-18 19:00:00,0 days 11:00:00,Gran Bretaña,República de Sudáfrica,draw,Sudáfrica
241,Guerra Hispanoamericana,SAN JUAN HILL AND EL CANEY,1898-07-01 06:30:00,1898-07-01 17:00:00,0 days 10:30:00,EE. UU.,España,attacker,Cuba
242,Guerra Ruso-Japonesa,THE YALU,1904-04-30 04:00:00,1904-05-01 13:00:00,1 days 09:00:00,Japón,Rusia,attacker,Corea
243,Guerra Ruso-Japonesa,TELISSU,1904-06-14 12:00:00,1904-06-15 15:00:00,1 days 03:00:00,Japón,Rusia,attacker,Manchuria
244,Guerra Ruso-Japonesa,LIAOYANG,1904-08-25 00:00:00,1904-09-04 00:00:00,10 days 00:00:00,Japón,Rusia,attacker,Manchuria
245,Guerra Ruso-Japonesa,THE SHA-HO,1904-10-05 00:00:00,1904-10-19 00:00:00,14 days 00:00:00,Rusia,Japón,defender,Manchuria
246,Guerra Ruso-Japonesa,SANDEPU,1905-01-26 10:30:00,1905-01-27 21:30:00,1 days 11:00:00,Rusia,Japón,defender,Manchuria
247,Guerra Ruso-Japonesa,MUKDEN,1905-02-21 00:00:00,1905-03-11 00:00:00,18 days 00:00:00,Japón,Rusia,attacker,Manchuria
248,Las Guerras de los Balcanes,KUMANOVO,1912-10-23 05:30:00,1912-10-24 12:30:00,1 days 07:00:00,Serbia,Imperio Otomano,attacker,Turquía Europea
250,Las Guerras de los Balcanes,PRELIP,1912-11-01 00:00:00,1912-11-03 00:00:00,2 days 00:00:00,Serbia,Imperio Otomano,attacker,Turquía Europea
251,Las Guerras de los Balcanes,MONASTIR,1912-11-05 00:00:00,1912-11-06 00:00:00,1 days 00:00:00,Serbia,Imperio Otomano,attacker,Turquía Europea
256,Incidente de Manchuria (1938-1939),CHANGKUFENG-SHACHAOFENG,1938-07-31 02:00:00,1938-07-31 08:00:00,0 days 06:00:00,Japón,URSS,attacker,Manchuria
257,Incidente de Manchuria (1938-1939),HILL 52-SHACHAOFENG,1938-08-02 08:00:00,1938-08-03 06:30:00,0 days 22:30:00,URSS,Japón,defender,Manchuria
258,Incidente de Manchuria (1938-1939),CHANGKUFENG-HILL 52,1938-08-06 00:00:00,1938-08-11 00:00:00,5 days 00:00:00,URSS,Japón,defender,Manchuria
259,Incidente de Manchuria (1938-1939),NOMONHAN-OPENING ENGAGEMENT,1939-05-28 00:00:00,1939-05-30 00:00:00,2 days 00:00:00,Japón,URSS,draw,Manchuria
260,Incidente de Manchuria (1938-1939),NOMONHAN-SOVIET COUNTEROFFENSIVE,1939-08-20 00:00:00,1939-09-01 00:00:00,12 days 00:00:00,URSS,Japón,attacker,Manchuria
262,Primera Guerra Mundial (Frente Occidental 1914),ALSACE-LORRAINE I,1914-08-15 00:00:00,1914-08-20 00:00:00,5 days 00:00:00,Francia,Alemania,defender,Alemania
263,Primera Guerra Mundial (Frente Occidental 1914),ALSACE-LORRAINE II,1914-08-20 00:00:00,1914-08-22 00:00:00,2 days 00:00:00,Alemania,Francia,attacker,Alemania y Francia
264,Primera Guerra Mundial (Frente Occidental 1914),THE ARDENNES,1914-08-22 00:00:00,1914-08-24 00:00:00,2 days 00:00:00,Francia,Alemania,defender,Francia
265,Primera Guerra Mundial (Frente Occidental 1914),THE SAMBRE,1914-08-22 00:00:00,1914-08-24 00:00:00,2 days 00:00:00,Alemania,Francia,attacker,Bélgica
266,Primera Guerra Mundial (Frente Occidental 1914),MONS,1914-08-23 09:00:00,1914-08-23 23:00:00,0 days 14:00:00,Alemania,Gran Bretaña,attacker,Bélgica
267,Primera Guerra Mundial (Frente Occidental 1914),LE CATEAU,1914-08-26 06:00:00,1914-08-26 18:00:00,0 days 12:00:00,Alemania,Gran Bretaña,attacker,Francia
268,Primera Guerra Mundial (Frente Occidental 1914),GUISE,1914-08-29 09:00:00,1914-08-29 23:00:00,0 days 14:00:00,Alemania,Francia,draw,Francia
269,Primera Guerra Mundial (Frente Occidental 1914),HEIGHTS OF NANCY,1914-09-03 00:00:00,1914-09-08 00:00:00,5 days 00:00:00,Alemania,Francia,defender,Francia
270,Primera Guerra Mundial (Frente Occidental 1914),OURCQ I,1914-09-05 00:00:00,1914-09-06 00:00:00,1 days 00:00:00,Francia,Alemania,draw,Francia
271,Primera Guerra Mundial (Frente Occidental 1914),OURCQ II,1914-09-06 00:00:00,1914-09-10 00:00:00,4 days 00:00:00,Francia,Alemania,draw,Francia
272,Primera Guerra Mundial (Frente Occidental 1914),PETIT MORIN,1914-09-06 00:00:00,1914-09-10 00:00:00,4 days 00:00:00,Francia,Alemania,attacker,Francia
273,Primera Guerra Mundial (Frente Occidental 1914),TWO MORINS,1914-09-06 00:00:00,1914-09-10 00:00:00,4 days 00:00:00,Gran Bretaña,Alemania,attacker,Francia
274,Primera Guerra Mundial (Frente Occidental 1914),MARSHES OF ST.GOND,1914-09-06 00:00:00,1914-09-10 00:00:00,4 days 00:00:00,Alemania,Francia,defender,Francia
275,Primera Guerra Mundial (Frente Occidental 1914),VITRY LE FRANCOIS,1914-09-06 00:00:00,1914-09-10 00:00:00,4 days 00:00:00,Alemania,Francia,defender,Francia
276,Primera Guerra Mundial (Frente Occidental 1914),GAP OF REVIGNY,1914-09-06 00:00:00,1914-09-10 00:00:00,4 days 00:00:00,Alemania,Francia,defender,Francia
277,Primera Guerra Mundial (Frente Occidental 1914),THE AISNE,1914-09-13 00:00:00,1914-09-19 00:00:00,6 days 00:00:00,Francia,Alemania,defender,Francia
278,Primera Guerra Mundial (Frente Oriental 1914),STALLUPONEN,1914-08-17 11:00:00,1914-08-17 20:00:00,0 days 09:00:00,Rusia,Alemania,defender,Alemania
279,Primera Guerra Mundial (Frente Oriental 1914),GUMBINNEN,1914-08-20 04:00:00,1914-08-20 16:00:00,0 days 12:00:00,Alemania,Rusia,draw,Alemania
280,Primera Guerra Mundial (Frente Oriental 1914),TANNENBERG,1914-08-26 00:00:00,1914-08-30 00:00:00,4 days 00:00:00,Alemania,Rusia,attacker,Alemania
281,Primera Guerra Mundial (Frente Oriental 1914),MASURIAN LAKES,1914-09-09 00:00:00,1914-09-14 00:00:00,5 days 00:00:00,Alemania,Rusia,attacker,Alemania
282,Primera Guerra Mundial (Frente Oriental 1914),KRASNIK,1914-08-23 00:00:00,1914-08-26 00:00:00,3 days 00:00:00,Austria,Rusia,attacker,Polonia Rusa
283,Primera Guerra Mundial (Frente Oriental 1914),KOMAROV,1914-08-26 00:00:00,1914-08-31 00:00:00,5 days 00:00:00,Austria,Rusia,attacker,Polonia Rusa
284,Primera Guerra Mundial (Frente Oriental 1914),GNILA LIPA,1914-08-26 00:00:00,1914-08-31 00:00:00,5 days 00:00:00,Austria,Rusia,defender,Galicia Austríaca
285,Primera Guerra Mundial (Frente Oriental 1914),RAVA RUSSKA,1914-09-03 00:00:00,1914-09-11 00:00:00,8 days 00:00:00,Austria,Rusia,defender,Galicia Austríaca
286,Primera Guerra Mundial (Frente Oriental 1914),LODZ,1914-11-12 00:00:00,1914-11-25 00:00:00,13 days 00:00:00,Alemania,Rusia,attacker,Polonia Rusa
287,Primera Guerra Mundial (Frente Serbio 1914),THE JADAR,1914-08-12 00:00:00,1914-08-20 00:00:00,8 days 00:00:00,Austria,Serbia,defender,Serbia
288,Primera Guerra Mundial (Frente Serbio 1914),THE KOLUBRA,1914-12-03 00:00:00,1914-12-10 00:00:00,7 days 00:00:00,Serbia,Austria,attacker,Serbia
289,Primera Guerra Mundial,EASTERN CHAMPAGNE,1915-02-15 00:00:00,1915-03-17 00:00:00,30 days 00:00:00,Francia,Alemania,defender,Francia
290,Primera Guerra Mundial,NEUVE CHAPELLE,1915-03-10 08:30:00,1915-03-13 10:30:00,3 days 02:00:00,Gran Bretaña,Alemania,defender,Francia
291,Primera Guerra Mundial,YPRES II,1915-04-22 00:00:00,1915-05-25 00:00:00,33 days 00:00:00,Alemania,Gran Bretaña,defender,Francia
292,Primera Guerra Mundial,FESTUBERT,1915-05-16 00:00:00,1915-05-27 00:00:00,11 days 00:00:00,Gran Bretaña,Alemania,defender,Francia
293,Primera Guerra Mundial,LOOS,1915-09-25 00:00:00,1915-10-15 00:00:00,20 days 00:00:00,Gran Bretaña,Alemania,defender,Francia
294,Primera Guerra Mundial,WINTER BATTLE (MASURIA),1915-02-07 00:00:00,1915-02-22 00:00:00,15 days 00:00:00,Alemania,Rusia,attacker,Alemania y Polonia Rusa
295,Primera Guerra Mundial,GOLICE-TARNOW (OPENING PHASE),1915-05-02 00:00:00,1915-05-05 00:00:00,3 days 00:00:00,Alemania,Rusia,attacker,Galicia Austríaca
296,Primera Guerra Mundial (Frente Italiano 1915),FIRST ISONZO,1915-06-23 00:00:00,1915-07-08 00:00:00,15 days 00:00:00,Italia,Austria,defender,Austria
297,Primera Guerra Mundial (Frente Italiano 1915),SECOND ISONZO,1915-07-18 00:00:00,1915-08-04 00:00:00,17 days 00:00:00,Italia,Austria,defender,Austria
298,Primera Guerra Mundial (Frente Italiano 1915),THIRD ISONZO,1915-10-18 00:00:00,1915-11-05 00:00:00,18 days 00:00:00,Italia,Austria,defender,Austria
299,Primera Guerra Mundial (Frente Italiano 1915),FOURTH ISONZO,1915-11-10 00:00:00,1915-12-03 00:00:00,23 days 00:00:00,Italia,Austria,defender,Austria
300,Primera Guerra Mundial (Frentes Turcos 1915),FIRST DARDANELLES LANDING,1915-04-25 04:30:00,1915-04-25 22:00:00,0 days 17:30:00,Gran Bretaña,Imperio Otomano,draw,Turquía
301,Primera Guerra Mundial (Frentes Turcos 1915),SUVLA BAY,1915-08-07 00:00:00,1915-08-11 00:00:00,4 days 00:00:00,Gran Bretaña,Imperio Otomano,defender,Turquía
302,Primera Guerra Mundial (Frentes Turcos 1915),KUT-EL-AMARA,1915-09-27 00:00:00,1915-09-29 00:00:00,2 days 00:00:00,Gran Bretaña,Imperio Otomano,attacker,Mesopotamia
303,Primera Guerra Mundial (Frentes Turcos 1915),CTESIPHON,1915-11-22 00:00:00,1915-11-25 00:00:00,3 days 00:00:00,Gran Bretaña,Imperio Otomano,defender,Mesopotamia
304,Primera Guerra Mundial,FIRST SOMME,1916-07-01 00:00:00,1916-11-25 00:00:00,147 days 00:00:00,Gran Bretaña,Alemania,defender,Francia
305,Primera Guerra Mundial,SOMME-FOURTH ARMY ATTACK,1916-07-01 07:30:00,1916-07-01 20:30:00,0 days 13:00:00,Gran Bretaña,Alemania,defender,Francia
306,Primera Guerra Mundial,SOMME-OVILLERS,1916-07-01 07:30:00,1916-07-01 19:30:00,0 days 12:00:00,Gran Bretaña,Alemania,defender,Francia
307,Primera Guerra Mundial,SOMME-BAZENTIN RIDGE,1916-07-14 03:30:00,1916-07-14 20:00:00,0 days 16:30:00,Gran Bretaña,Alemania,draw,Francia
308,Primera Guerra Mundial,SOMME-FLERS-COURCELETTE,1916-09-15 06:20:00,1916-09-15 21:25:00,0 days 15:05:00,Gran Bretaña,Alemania,attacker,Francia
309,Primera Guerra Mundial,CAUCASUS WINTER OFFENSIVE,1916-01-10 00:00:00,1916-01-17 00:00:00,7 days 00:00:00,Rusia,Imperio Otomano,attacker,Turquía
310,Primera Guerra Mundial,LAKE NAROTCH,1916-03-18 00:00:00,1916-03-27 00:00:00,9 days 00:00:00,Rusia,Alemania,defender,Polonia Rusa
311,Primera Guerra Mundial,1916 BRUSILOV OFFENSIVE,1916-06-04 00:00:00,1916-07-08 00:00:00,34 days 00:00:00,Rusia,Austria,attacker,Galicia Austríaca
312,Primera Guerra Mundial,FIFTH ISONZO,1916-03-11 00:00:00,1916-03-16 00:00:00,5 days 00:00:00,Italia,Austria,defender,Austria
313,Primera Guerra Mundial,ASIAGO,1916-05-15 00:00:00,1916-06-11 00:00:00,27 days 00:00:00,Austria,Italia,attacker,Austria e Italia
314,Primera Guerra Mundial,TRENTINO COUNTER-OFFENSIVE,1916-06-16 00:00:00,1916-07-10 00:00:00,24 days 00:00:00,Italia,Austria,attacker,Austria e Italia
315,Primera Guerra Mundial,SIXTH ISONZO (GORIZIA),1916-08-06 00:00:00,1916-08-18 00:00:00,12 days 00:00:00,Italia,Austria,attacker,Austria
316,Primera Guerra Mundial,ARRAS,1917-04-09 00:00:00,1917-04-24 00:00:00,15 days 00:00:00,Gran Bretaña,Alemania,draw,Francia
317,Primera Guerra Mundial,AISNE II,1917-04-16 00:00:00,1917-05-01 00:00:00,15 days 00:00:00,Francia,Alemania,defender,Francia
318,Primera Guerra Mundial,MESSINES,1917-06-07 00:00:00,1917-06-15 00:00:00,8 days 00:00:00,Gran Bretaña,Alemania,attacker,Bélgica
319,Primera Guerra Mundial,YPRES III,1917-07-31 00:00:00,1917-12-08 00:00:00,130 days 00:00:00,Gran Bretaña,Alemania,defender,Bélgica
320,Primera Guerra Mundial,CAMBRAI I,1917-11-20 00:00:00,1917-11-27 00:00:00,7 days 00:00:00,Gran Bretaña,Alemania,attacker,Francia
321,Primera Guerra Mundial,CAMBRAI II,1917-11-30 00:00:00,1917-12-04 00:00:00,4 days 00:00:00,Alemania,Gran Bretaña,attacker,Francia
322,Primera Guerra Mundial,TENTH ISONZO,1917-05-12 00:00:00,1917-06-06 00:00:00,25 days 00:00:00,Italia,Austria,attacker,Austria
323,Primera Guerra Mundial,ELEVENTH ISONZO,1917-08-18 00:00:00,1917-09-16 00:00:00,29 days 00:00:00,Italia,Austria,attacker,Austria
324,Primera Guerra Mundial,CAPORETTO (TWELFTH ISONZO),1917-10-24 00:00:00,1917-11-24 00:00:00,31 days 00:00:00,Alemania,Italia,attacker,Austria e Italia
325,Primera Guerra Mundial (Frentes Turcos 1917),TIGRIS CROSSING,1917-02-22 10:00:00,1917-02-24 19:00:00,2 days 09:00:00,Gran Bretaña,Imperio Otomano,attacker,Mesopotamia
326,Primera Guerra Mundial (Frentes Turcos 1917),GAZA I,1917-03-26 11:45:00,1917-03-27 20:00:00,1 days 08:15:00,Gran Bretaña,Imperio Otomano,defender,Palestina
327,Primera Guerra Mundial (Frentes Turcos 1917),GAZA II,1917-04-17 04:15:00,1917-04-19 17:00:00,2 days 12:45:00,Gran Bretaña,Imperio Otomano,defender,Palestina
328,Primera Guerra Mundial (Frentes Turcos 1917),GAZA III,1917-10-31 00:00:00,1917-11-07 00:00:00,7 days 00:00:00,Gran Bretaña,Imperio Otomano,attacker,Palestina
329,Primera Guerra Mundial (Frentes Turcos 1917),JUNCTION STATION,1917-11-13 00:00:00,1917-11-15 00:00:00,2 days 00:00:00,Gran Bretaña,Imperio Otomano,attacker,Palestina
330,Primera Guerra Mundial (Frente Occidental 1918),SECOND SOMME-PHASE I (SOMME-PERONNE),1918-03-21 00:00:00,1918-03-27 00:00:00,6 days 00:00:00,Alemania,Gran Bretaña,attacker,Francia
331,Primera Guerra Mundial (Frente Occidental 1918),SECOND SOMME-PHASE II (SOMME-MONTDIDIER),1918-03-27 00:00:00,1918-04-10 00:00:00,14 days 00:00:00,Alemania,Gran Bretaña,draw,Francia
332,Primera Guerra Mundial (Frente Occidental 1918),LYS,1918-04-09 00:00:00,1918-05-01 00:00:00,22 days 00:00:00,Alemania,Gran Bretaña,attacker,Francia
333,Primera Guerra Mundial (Frente Occidental 1918),YVONNE & ODETTE POSITIONS (SECTOR TOULON),1918-04-14 00:30:00,1918-04-14 02:30:00,0 days 02:00:00,Alemania,EE. UU.,attacker,Francia
334,Primera Guerra Mundial (Frente Occidental 1918),CHEMIN-DES-DAMES,1918-05-27 00:00:00,1918-06-04 00:00:00,8 days 00:00:00,Alemania,Francia,defender,Francia
335,Primera Guerra Mundial (Frente Occidental 1918),CANTIGNY,1918-05-28 06:45:00,1918-05-28 19:00:00,0 days 12:15:00,EE. UU.,Alemania,attacker,Francia
336,Primera Guerra Mundial (Frente Occidental 1918),BELLEAU WOOD,1918-06-06 03:45:00,1918-06-06 21:00:00,0 days 17:15:00,EE. UU.,Alemania,draw,Francia
337,Primera Guerra Mundial (Frente Occidental 1918),HILL 142,1918-06-06 03:45:00,1918-06-06 12:30:00,0 days 08:45:00,EE. UU.,Alemania,attacker,Francia
338,Primera Guerra Mundial (Frente Occidental 1918),WEST WOOD I,1918-06-06 17:00:00,1918-06-06 21:00:00,0 days 04:00:00,EE. UU.,Alemania,defender,Francia
339,Primera Guerra Mundial (Frente Occidental 1918),BOURESCHES I,1918-06-06 17:00:00,1918-06-06 21:30:00,0 days 04:30:00,EE. UU.,Alemania,draw,Francia
340,Primera Guerra Mundial (Frente Occidental 1918),HILL 192,1918-06-06 17:00:00,1918-06-07 03:00:00,0 days 10:00:00,EE. UU.,Alemania,defender,Francia
341,Primera Guerra Mundial (Frente Occidental 1918),WEST WOOD II,1918-06-11 04:30:00,1918-06-11 09:00:00,0 days 04:30:00,EE. UU.,Alemania,attacker,Francia
342,Primera Guerra Mundial (Frente Occidental 1918),NORTH WOOD I (HUNTING LODGE),1918-06-12 17:30:00,1918-06-12 20:30:00,0 days 03:00:00,EE. UU.,Alemania,attacker,Francia
343,Primera Guerra Mundial (Frente Occidental 1918),BOURESCHES II,1918-06-13 03:00:00,1918-06-13 05:30:00,0 days 02:30:00,Alemania,EE. UU.,defender,Francia
344,Primera Guerra Mundial (Frente Occidental 1918),NORTH WOOD II,1918-06-21 03:15:00,1918-06-21 04:30:00,0 days 01:15:00,EE. UU.,Alemania,defender,Francia
345,Primera Guerra Mundial (Frente Occidental 1918),NORTH WOOD III,1918-06-23 19:00:00,1918-06-23 23:20:00,0 days 04:20:00,EE. UU.,Alemania,defender,Francia
346,Primera Guerra Mundial (Frente Occidental 1918),NORTH WOOD IV (FINAL ASSAULT),1918-06-25 17:00:00,1918-06-26 06:00:00,0 days 13:00:00,EE. UU.,Alemania,attacker,Francia
347,Primera Guerra Mundial (Frente Occidental 1918),VAUX,1918-07-01 17:00:00,1918-07-02 02:30:00,0 days 09:30:00,EE. UU.,Alemania,attacker,Francia
348,Primera Guerra Mundial (Frente Occidental 1918),LA ROCHE WOOD EAST,1918-07-01 18:00:00,1918-07-02 02:30:00,0 days 08:30:00,EE. UU.,Alemania,attacker,Francia
349,Primera Guerra Mundial (Frente Occidental 1918),LA ROCHE WOOD WEST,1918-07-01 17:00:00,1918-07-02 03:00:00,0 days 10:00:00,EE. UU.,Alemania,attacker,Francia
350,Primera Guerra Mundial (Frente Occidental 1918),NOYON-MONTDIDIER,1918-06-09 00:00:00,1918-06-14 00:00:00,5 days 00:00:00,Alemania,Francia,defender,Francia
351,Primera Guerra Mundial (Frente Occidental 1918),CHAMPAGNE-MARNE,1918-07-15 00:00:00,1918-07-18 00:00:00,3 days 00:00:00,Alemania,Francia,defender,Francia
352,Primera Guerra Mundial (Frente Occidental 1918),AISNE-MARNE I,1918-07-18 00:00:00,1918-07-20 00:00:00,2 days 00:00:00,Francia,Alemania,attacker,Francia
353,Primera Guerra Mundial (Frente Occidental 1918),MISSY AUX BOIS RAVINE,1918-07-18 04:35:00,1918-07-18 16:00:00,0 days 11:25:00,EE. UU.,Alemania,attacker,Francia
354,Primera Guerra Mundial (Frente Occidental 1918),BREUIL,1918-07-18 04:35:00,1918-07-18 16:00:00,0 days 11:25:00,EE. UU.,Alemania,attacker,Francia
355,Primera Guerra Mundial (Frente Occidental 1918),ST. AMAND FARM,1918-07-18 04:35:00,1918-07-18 09:30:00,0 days 04:55:00,EE. UU.,Alemania,attacker,Francia
356,Primera Guerra Mundial (Frente Occidental 1918),BEAUREPAIRE FARM,1918-07-18 04:35:00,1918-07-18 09:30:00,0 days 04:55:00,EE. UU.,Alemania,attacker,Francia
357,Primera Guerra Mundial (Frente Occidental 1918),CRAVANCON FERME-CHAUDUN,1918-07-18 04:35:00,1918-07-18 11:00:00,0 days 06:25:00,EE. UU.,Alemania,attacker,Francia
358,Primera Guerra Mundial (Frente Occidental 1918),CHAUDUN,1918-07-18 04:35:00,1918-07-18 08:00:00,0 days 03:25:00,EE. UU.,Alemania,attacker,Francia
359,Primera Guerra Mundial (Frente Occidental 1918),AISNE-MARNE II,1918-07-20 00:00:00,1918-08-02 00:00:00,13 days 00:00:00,EE. UU.,Alemania,attacker,Francia
360,Primera Guerra Mundial (Frente Occidental 1918),BERZY LE SEC,1918-07-21 08:30:00,1918-07-21 09:15:00,0 days 00:45:00,EE. UU.,Alemania,attacker,Francia
361,Primera Guerra Mundial (Frente Occidental 1918),BUZANCY RIDGE,1918-07-21 00:00:00,1918-07-22 00:00:00,1 days 00:00:00,EE. UU.,Alemania,attacker,Francia
362,Primera Guerra Mundial (Frente Occidental 1918),"PICARDY 1918, I",1918-08-08 00:00:00,1918-08-12 00:00:00,4 days 00:00:00,EE. UU.,Alemania,attacker,Francia
363,Primera Guerra Mundial (Frente Occidental 1918),"PICARDY 1918, II",1918-08-21 00:00:00,1918-09-05 00:00:00,15 days 00:00:00,EE. UU.,Alemania,attacker,Francia
364,Primera Guerra Mundial (Frente Occidental 1918),ST. MIHIEL,1918-09-12 00:00:00,1918-09-16 00:00:00,4 days 00:00:00,EE. UU.,Alemania,attacker,Francia
